Sample;Dataset;Known IDH status;Predicted IDH status
aml_ohsu_2022_2386_BA2271;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2387_BA2031;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2390_BA2492;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2390_BA2723;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2391_BA3037;AML-OHSU-2022;;pIDH-WT
aml_ohsu_2022_2393_BA2662;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2394_BA2220;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2394_BA2720;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2395_BA2798;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2395_BA2883;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2397_BA2772;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2398_BA2172;AML-OHSU-2022;;pIDH-WT
aml_ohsu_2022_2399_BA2169;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2400_BA2520;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2402_BA2155;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2403_BA2316;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2403_BA2742;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2405_BA2418;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2407_BA2235;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2408_BA2733;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2409_BA2514;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2409_BA2695;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2410_BA2402;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2411_BA2978;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2412_BA2052;AML-OHSU-2022;IDH-WT;
